Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Bedford;County;45553;60226;68676;69246
Bedford;City;6176;6421;6222;6181
Bland;County;6514;6869;6824;6818
Botetourt;County;24992;30554;33148;32928
Bristol;City;18426;17346;17835;17750
Brunswick;County;15987;18395;17434;17204
Buchanan;County;31333;26968;24098;23581
Buckingham;County;12873;15614;17146;17278
Buena Vista;City;6406;6367;6650;6636
Campbell;County;47499;50997;54842;55032
Caroline;County;19217;22122;28545;28674
Carroll;County;26519;29205;30042;29981
Charles City;County;6282;6932;7256;7241
Charlotte;County;11688;12471;12586;12505
Charlottesville;City;40470;41280;43475;43511
Chesapeake;City;151982;199153;222209;225050
Chesterfield;County;209599;259879;316236;320277
Clarke;County;12101;12638;14034;14258
Colonial Heights;City;16064;16909;17411;17440
Covington;City;7352;6294;5961;5939
Craig;County;4372;5076;5190;5099
Culpeper;County;27791;34260;46689;47476
Cumberland;County;7825;9002;10052;9969
Danville;City;53056;48312;43055;42852
Dickenson;County;17620;16380;15903;15741
Dinwiddie;County;22279;24540;28001;27918
Emporia;City;5556;5651;5927;5871
Essex;County;8689;9991;11151;11205
Fairfax;County;818310;969987;1081726;1100692
Fairfax;City;19945;21576;22565;22549
Falls Church;City;9464;10432;12332;12751
Fauquier;County;48700;55145;65203;66071
Floyd;County;11965;13840;15279;15378
Fluvanna;County;12429;20012;25691;26061
Franklin;County;39549;47311;56159;56419
Franklin;City;8392;8351;8582;8588
Frederick;County;45723;59226;78305;79666
Fredericksburg;City;19033;19367;24286;25691
Galax;City;6745;6911;7042;6983
Giles;County;16366;16682;17286;17124
Gloucester;County;30131;34772;36858;36901
Goochland;County;14163;16866;21717;21883
Grayson;County;16278;16803;15533;15328
Greene;County;10297;15231;18403;18660
Greensville;County;8553;11585;12243;12112
Halifax;County;36030;37350;36241;36056
Hampton;City;133773;146436;137436;136401
Hanover;County;63306;86331;99863;100342
Harrisonburg;City;30707;40390;48914;49973
Henrico;County;217878;263195;306935;310445
Henry;County;56942;57944;54151;53741
Highland;County;2635;2531;2321;2267
Hopewell;City;23101;22278;22591;22580
Isle of Wight;County;25053;29724;35270;35356
James City;County;34779;48096;67009;68200
King and Queen;County;6289;6624;6945;6997
King George;County;13527;16811;23584;24161
King William;County;10913;13155;15935;15981
Lancaster;County;10896;11557;11391;11282
Lee;County;24496;23583;25587;25146
Lexington;City;6959;6873;7042;6995
Loudoun;County;86185;169599;312311;325405
Louisa;County;20325;25691;33153;33395
Lunenburg;County;11419;13152;12914;12874
Lynchburg;City;66120;65306;75568;76504
Madison;County;11949;12509;13308;13169
Manassas;City;27757;34692;37821;39300
Manassas Park;City;6798;10226;14273;15332
Martinsville;City;16162;15418;13821;13559
Mathews;County;8348;9160;8978;8962
Mecklenburg;County;29241;32387;32727;32622
Middlesex;County;8653;9895;10959;10854
Montgomery;County;73913;83632;94392;94342
Nelson;County;12778;14440;15020;15097
New Kent;County;10466;13472;18429;18822
Newport News;City;171477;180272;180719;179611
Norfolk;City;261250;234463;242803;242628
Northampton;County;13061;13096;12389;12377
Northumberland;County;10524;12257;12330;12461
Norton;City;4247;3945;3958;4054
Nottoway;County;14993;15738;15853;15840
Orange;County;21421;25870;33481;33938
Page;County;21690;23151;24042;23958
Patrick;County;17473;19429;18490;18390
Petersburg;City;37071;33752;32420;32326
Pittsylvania;County;55672;61790;63506;62844
Poquoson;City;11005;11566;12150;12000
Portsmouth;City;103910;100580;95535;95684
Powhatan;County;15328;22377;28046;28110
Prince Edward;County;17320;19719;23368;23343
Prince George;County;27390;33112;35725;36555
Prince William;County;214954;281317;402002;419006
Pulaski;County;34496;35129;34872;34607
Radford;City;15940;15878;16408;16414
Rappahannock;County;6622;6994;7373;7444
Richmond;County;7273;8813;9254;9220
Richmond;City;202713;196991;204214;205533
Roanoke;County;79278;85700;92376;92740
Roanoke;City;96487;95006;97032;96714
Rockbridge;County;18350;20785;22307;22375
Rockingham;County;57482;67825;76314;76589
Russell;County;28667;29250;28897;28749
Salem;City;23835;24723;24802;24961
Scott;County;23204;23395;23177;23126
Shenandoah;County;31636;35068;41993;42289
Smyth;County;32370;33069;32208;32029
Southampton;County;17022;17482;18570;18408
Spotsylvania;County;57397;90289;122397;124327
Stafford;County;62255;92456;128961;132133
Staunton;City;24581;23951;23746;23769
Suffolk;City;52143;63699;84585;84930
Surry;County;6145;6824;7058;6931
Sussex;County;10248;12507;12087;12087
Tazewell;County;45960;44599;45078;44715
Virginia Beach;City;393089;425236;437994;442707
Warren;County;26142;31553;37575;37749
Washington;County;45887;51152;54876;54827
Waynesboro;City;18549;19617;21006;21311
Westmoreland;County;15480;16684;17454;17595
Williamsburg;City;11600;11998;14068;14444
Winchester;City;21947;23599;26203;26587
Wise;County;39573;42153;41452;41565
Wythe;County;25471;27601;29235;29204
York;County;42434;56748;65464;66134
Washington;Federal State;4866669;5894281;6724540;6830038
Adams;County;13603;16426;18728;19027
Asotin;County;17605;20553;21623;21933
Benton;County;112560;142473;175177;180678
Chelan;County;52250;66611;72453;73477
Clallam;County;56210;64183;71404;71838
Clark;County;238053;345235;425363;433418
Columbia;County;4024;4064;4078;4050
Cowlitz;County;82119;92945;102410;102478
Douglas;County;26205;32589;38431;38971
Ferry;County;6295;7262;7551;7689
Franklin;County;37473;49378;78163;83455
Garfield;County;2248;2397;2266;2262
Grant;County;54798;74714;89120;91265
Grays Harbor;County;64175;67141;72797;72546
Island;County;60195;71571;78506;78971
Jefferson;County;20406;26301;29872;29924
King;County;1507305;1737075;1931249;1969722
Kitsap;County;189731;231982;251133;254633
Kittitas;County;26725;33369;40915;41629
Klickitat;County;16616;19170;20318;20697
Lewis;County;59358;68585;75455;75901
Lincoln;County;8864;10173;10570;10476
Mason;County;38341;49443;60699;61019
Okanogan;County;33350;39567;41120;41411
Pacific;County;18882;20979;20920;20930
Pend Oreille;County;8915;11706;13001;12936
Pierce;County;586203;700816;795225;807904
San Juan;County;10035;14052;15769;15844
Skagit;County;79545;103017;116901;118109
Skamania;County;8289;9876;11066;11137
Snohomish;County;465628;606043;713335;722400
Spokane;County;361333;417968;471221;473761
Stevens;County;30948;40082;43531;43496
Thurston;County;161238;207392;252264;256591
Wahkiakum;County;3327;3824;3978;3991
Walla Walla;County;48439;55177;58781;59588
Whatcom;County;127780;166822;201140;203663
Whitman;County;38775;40742;44776;45077
Yakima;County;188823;222578;243231;247141
West Virginia;Federal State;1793477;1808193;1852994;1855364
Barbour;County;15699;15555;16589;16520
Berkeley;County;59253;75899;104169;105750
Boone;County;25870;25548;24629;24444
Braxton;County;12998;14697;14523;14485
Brooke;County;26992;25427;24069;23844
Cabell;County;96827;96783;96319;96653
Calhoun;County;7885;7587;7627;7652
Clay;County;9983;10336;9386;9357
Doddridge;County;6994;7366;8202;8171
Fayette;County;47952;47591;46039;45699
Gilmer;County;7669;7155;8693;8705
Grant;County;10428;11292;11937;11891
Greenbrier;County;34693;34448;35480;35800
Hampshire;County;16498;20171;23964;23812
Hancock;County;35233;32682;30676;30571
Hardy;County;10977;12647;14025;13912
Harrison;County;69371;68635;69099;69436
Jackson;County;25938;28002;29211;29241
Jefferson;County;35926;42246;53498;54225
Kanawha;County;207619;200111;193063;192315
Lewis;County;17223;16914;16372;16416
Lincoln;County;21382;22107;21720;21550
Logan;County;43032;37705;36743;36457
Marion;County;57249;56603;56418;56586
Marshall;County;37356;35529;33107;32800
Mason;County;25178;25952;27324;27298
McDowell;County;35233;27331;22113;21729
Mercer;County;64980;62978;62264;62465
Mineral;County;26697;27086;28212;28192
Mingo;County;33739;28247;26839;26563
Monongalia;County;75509;81886;96189;98528
Monroe;County;12406;13184;13502;13534
Morgan;County;12128;14929;17541;17535
Nicholas;County;26775;26561;26233;26268
Ohio;County;50871;47432;44443;44246
Pendleton;County;8054;8186;7695;7673
Pleasants;County;7546;7513;7605;7611
Pocahontas;County;9008;9114;8719;8786
Preston;County;29037;29315;33520;33723
Putnam;County;42835;51563;55486;56008
Raleigh;County;76819;79237;78859;79127
Randolph;County;27803;28274;29405;29465
Ritchie;County;10233;10351;10449;10295
Roane;County;15120;15447;14926;14858
Summers;County;14204;14381;13927;13867
Taylor;County;15144;16060;16895;16916
Tucker;County;7728;7307;7141;7021
Tyler;County;9796;9583;9208;9121
Upshur;County;22867;23394;24254;24322
Wayne;County;41636;42919;42481;42126
Webster;County;10729;9716;9154;9143
Wetzel;County;19258;17690;16583;16351
Wirt;County;5192;5865;5717;5762
Wood;County;86915;87954;86956;87120
Wyoming;County;28990;25702;23796;23419
Wisconsin;Federal State;4891954;5363757;5686986;5711767
Adams;County;15682;19940;20875;20733
Ashland;County;16307;16845;16157;16142
Barron;County;40750;44961;45870;45883
Bayfield;County;14008;15027;15014;15099
Brown;County;194594;226633;248007;251412
Buffalo;County;13584;13797;13587;13539
Burnett;County;13084;15650;15457;15504
Calumet;County;34291;40683;48971;49490
Chippewa;County;52360;55217;62415;62778
Clark;County;31647;33548;34690;34742
Columbia;County;45088;52510;56833;56909
Crawford;County;15940;17241;16644;16714
Dane;County;367085;426475;488073;495959
Dodge;County;76559;85851;88759;88661
Door;County;25690;27957;27785;27820
Douglas;County;41758;43288;44159;44105
Dunn;County;35909;39853;43857;43971
Eau Claire;County;85183;93128;98736;99879
Florence;County;4590;5079;4423;4440
Fond du Lac;County;90083;97284;101633;102079
Forest;County;8776;10027;9304;9236
Grant;County;49266;49590;51208;51210
Green;County;30339;33678;36842;36891
Green Lake;County;18651;19115;19051;19094
Iowa;County;20150;22790;23687;23599
Iron;County;6153;6863;5916;5894
Jackson;County;16588;19091;20449;20565
Jefferson;County;67783;75855;83686;83943
Juneau;County;21650;24323;26664;26722
Kenosha;County;128181;149584;166426;167293
Kewaunee;County;18878;20199;20574;20589
La Crosse;County;97904;107156;114638;115572
Lafayette;County;16074;16149;16836;16815
Langlade;County;19505;20743;19977;19786
Lincoln;County;26993;29625;28743;28602
Manitowoc;County;80421;82907;81442;80976
Marathon;County;115400;125908;134063;134400
Marinette;County;40548;43392;41749;41656
Marquette;County;12321;14539;15404;15439
Menominee;County;4075;4554;4232;4348
Milwaukee;County;959212;940127;947735;952532
Monroe;County;36633;40885;44673;45050
Oconto;County;30226;35657;37660;37468
Oneida;County;31679;36736;35998;35801
Outagamie;County;140510;161090;176695;177913
Ozaukee;County;72894;82322;86395;86568
Pepin;County;7107;7314;7469;7412
Pierce;County;32765;36726;41019;40862
Polk;County;34773;41322;44205;44040
Portage;County;61405;67181;70019;70084
Price;County;15600;15819;14159;13994
Racine;County;175034;188849;195408;195388
Richland;County;17521;17926;18021;17983
Rock;County;139510;152315;160331;160092
Rusk;County;15079;15350;14755;14621
Sauk;County;46975;55187;61976;62290
Sawyer;County;14181;16221;16557;16596
Shawano;County;37157;40676;41949;41754
Sheboygan;County;103877;112663;115507;115149
St. Croix;County;50251;63155;84345;84922
Taylor;County;18901;19682;20689;20661
Trempealeau;County;25263;27002;28816;29001
Vernon;County;25617;28058;29773;29954
Vilas;County;17707;21055;21430;21442
Walworth;County;75000;91895;102228;102931
Washburn;County;13772;16007;15911;15912
Washington;County;95328;117529;131887;132386
Waukesha;County;304715;360810;389891;390730
Waupaca;County;46104;51844;52410;52682
Waushara;County;19385;23047;24496;24576
Winnebago;County;140320;156752;166994;167699
Wood;County;73605;75500;74749;74785
Wyoming;Federal State;453589;493786;563626;568158
Albany;County;30797;32029;36299;36889
Big Horn;County;10525;11442;11668;11759
Campbell;County;29370;33705;46133;46618
Carbon;County;16659;15626;15885;15786
Converse;County;11128;12046;13833;13755
Crook;County;5294;5886;7083;7111
Fremont;County;33662;35805;40123;40579
Goshen;County;12373;12537;13249;13536
Hot Springs;County;4809;4877;4812;4799
Johnson;County;6145;7084;8569;8642
Laramie;County;73142;81617;91738;92680
Lincoln;County;12625;14568;18106;18071
Natrona;County;61226;66541;75450;76366
Niobrara;County;2499;2410;2484;2491
Park;County;23178;25788;28205;28592
Platte;County;8145;8792;8667;8796
Sheridan;County;23562;26563;29116;29239
Sublette;County;4843;5913;10247;10146
Sweetwater;County;38823;37620;43806;44175
Teton;County;11173;18257;21294;21548
Uinta;County;18705;19745;21118;20985
Washakie;County;8388;8292;8533;8487
Weston;County;6518;6643;7208;7108
