Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Cook;County;5105044;5376741;5194675;5217080
Crawford;County;19464;20460;19817;19857
Cumberland;County;10670;11311;11048;11096
DeKalb;County;77932;88941;105160;104743
De Witt (DeWitt);County;16516;16802;16561;16578
Douglas;County;19464;19909;19980;19836
DuPage;County;781689;904594;916924;923222
Edgar;County;19595;19643;18576;18393
Edwards;County;7440;6978;6721;6618
Effingham;County;31704;34267;34242;34280
Fayette;County;20893;21810;22140;22133
Ford;County;14275;14227;14081;13976
Franklin;County;40319;39021;39561;39627
Fulton;County;38080;38244;37069;36962
Gallatin;County;6909;6426;5589;5528
Greene;County;15317;14766;13886;13798
Grundy;County;32337;37528;50063;50130
Hamilton;County;8499;8613;8457;8425
Hancock;County;21373;20171;19104;19031
Hardin;County;5189;4793;4320;4281
Henderson;County;8096;8176;7331;7196
Henry;County;51159;51032;50486;50328
Iroquois;County;30787;31340;29718;29475
Jackson;County;61067;59607;60218;60365
Jasper;County;10609;10113;9698;9717
Jefferson;County;37020;40051;38827;38713
Jersey;County;20539;21649;22985;22916
Jo Daviess;County;21821;22296;22678;22712
Johnson;County;11347;12877;12582;12654
Kane;County;317471;404508;515269;520271
Kankakee;County;96255;103825;113449;113698
Kendall;County;39413;54539;114736;116631
Knox;County;56393;55842;52919;52917
Lake;County;516418;644682;703462;706222
LaSalle;County;106913;111599;113924;113518
Lawrence;County;15972;15449;16833;16745
Lee;County;34392;36062;36031;35467
Livingston;County;39301;39734;38950;38885
Logan;County;30798;31199;30305;30140
Macon;County;117206;114690;110768;110730
Macoupin;County;47679;49008;47765;47687
Madison;County;249238;259019;269282;268459
Marion;County;41561;41678;39437;39335
Marshall;County;12846;13159;12640;12533
Mason;County;16269;16034;14666;14485
Massac;County;14752;15163;15429;15442
McDonough;County;35244;32906;32612;32582
McHenry;County;183241;259524;308760;308944
McLean;County;129180;150384;169572;170556
Menard;County;11164;12483;12705;12703
Mercer;County;17290;16940;16434;16363
Monroe;County;22422;27625;32957;33306
Montgomery;County;30728;30646;30104;29848
Morgan;County;36397;36627;35547;35543
Moultrie;County;13930;14288;14846;14824
Ogle;County;45957;51001;53497;53115
Peoria;County;182827;183466;186494;186834
Perry;County;21412;23091;22350;22264
Piatt;County;15548;16385;16729;16675
Pike;County;17577;17362;16430;16398
Pope;County;4373;4397;4470;4370
Pulaski;County;7523;7333;6161;6046
Putnam;County;5730;6077;6006;5968
Randolph;County;34583;33897;33476;33361
Richland;County;16545;16291;16233;16230
Rock Island;County;148723;149390;147546;147556
Saline;County;26551;26752;24913;24981
Sangamon;County;178386;188974;197465;198844
Schuyler;County;7498;7181;7544;7479
Scott;County;5644;5539;5355;5271
Shelby;County;22261;22884;22363;22212
St. Clair;County;262852;256043;270056;270259
Stark;County;6534;6330;5994;5667
Stephenson;County;48052;48995;47711;47563
Tazewell;County;123692;128465;135394;135661
Union;County;17619;18311;17808;17708
Vermilion;County;88257;83929;81625;81509
Wabash;County;13111;12932;11947;11834
Warren;County;19181;18736;17707;17818
